
	D.1.4.M HD Pneumonie, Alter 45-64, Mortalität // DP de pneumonie, âge 45-64, mortalité // DP polmonite, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	49	1324	3.700906	
	1999	59	1753	3.365659	
	2000	71	1848	3.841991	
	2001	64	1910	3.350785	
	2002	97	2227	4.355635	
	2003	91	2344	3.882253	
	2004	82	2343	3.499787	
	2005	86	2554	3.367267	
	2006	98	2475	3.959596	
	2007	112	2745	4.080146	
	2008	115	2911	3.950532	
	2009	111	3269	3.395534	
	2010	78	3137	2.486452	
	2011	98	3173	3.08856	
	2012	110	3016	3.647215	
	2013	86	3097	2.776881	

