
	A.1.2.M HD Herzinfarkt, Alter 20-44, Mortalität // DP infarctus du myocarde, âge 20-44, mortalité // DP infarto miocardico, età 20-44, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	9	339	2.654867	
	1999	5	385	1.298701	
	2000	5	391	1.278772	
	2001	5	506	0.9881423	
	2002	8	536	1.492537	
	2003	4	555	0.7207207	
	2004	7	553	1.265823	
	2005	8	541	1.478743	
	2006	11	642	1.713396	
	2007	7	610	1.147541	
	2008	7	645	1.085271	
	2009	5	661	0.7564297	
	2010	8	712	1.123596	
	2011	10	774	1.29199	
	2012	10	698	1.432665	
	2013	5	691	0.723589	

