
	A.2.3.M HD Herzinsuffizienz, Alter 45-64, Mortalität // DP insuffisance cardiaque, âge 45-64, mortalité // DP insufficienza cardiaca, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	22	481	4.573805	
	1999	22	554	3.971119	
	2000	21	637	3.296703	
	2001	32	797	4.015056	
	2002	36	745	4.832215	
	2003	38	836	4.545455	
	2004	34	834	4.076739	
	2005	47	1015	4.630542	
	2006	44	1159	3.796376	
	2007	42	1215	3.45679	
	2008	43	1212	3.547855	
	2009	37	1270	2.913386	
	2010	46	1417	3.246295	
	2011	39	1389	2.807775	
	2012	48	1329	3.611738	
	2013	47	1305	3.601533	

