
	A.1.4.M HD Herzinfarkt, Alter 65-84, Mortalität // DP infarctus du myocarde, âge 65-84, mortalité // DP infarto miocardico, età 65-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	321	2546	12.60801	
	1999	332	3173	10.46328	
	2000	427	3493	12.22445	
	2001	459	3766	12.188	
	2002	432	4151	10.40713	
	2003	432	4010	10.77307	
	2004	401	4088	9.809198	
	2005	450	4349	10.34721	
	2006	411	5062	8.11932	
	2007	458	5407	8.470501	
	2008	485	6022	8.053803	
	2009	450	6311	7.130407	
	2010	455	7114	6.395839	
	2011	470	7715	6.092029	
	2012	464	7595	6.109282	
	2013	469	7653	6.128316	

