
	D.1.5.M HD Pneumonie, Alter 65-84, Mortalität // DP de pneumonie, âge 65-84, mortalité // DP polmonite, età 65-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	249	3440	7.238372	
	1999	356	4603	7.734086	
	2000	426	5157	8.260617	
	2001	424	4881	8.686745	
	2002	485	5663	8.564365	
	2003	553	5860	9.43686	
	2004	530	6127	8.650237	
	2005	478	6636	7.203134	
	2006	451	6153	7.329758	
	2007	499	6601	7.559461	
	2008	507	7083	7.157984	
	2009	519	7539	6.884202	
	2010	455	7613	5.976619	
	2011	507	8123	6.241536	
	2012	473	8350	5.664671	
	2013	495	8600	5.755814	

