
	B.1.3.M HD Schlaganfall alle Formen, Alter 45-64, Mortalität // DP d’accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité // DP colpo apoplettico, tutte le forme, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	101	1459	6.92255	
	1999	114	1647	6.921676	
	2000	134	1757	7.626636	
	2001	134	1939	6.910779	
	2002	144	2106	6.837607	
	2003	149	2082	7.15658	
	2004	168	2127	7.898449	
	2005	170	2161	7.866728	
	2006	179	2412	7.421227	
	2007	174	2429	7.163442	
	2008	157	2517	6.237584	
	2009	165	2554	6.460454	
	2010	177	2967	5.965622	
	2011	162	3090	5.242718	
	2012	157	3272	4.798289	
	2013	182	3435	5.298399	

