
	I.3.4.M Schenkelhalsfraktur, Alter 70-79, Mortalität // Fractures du col du fémur, âge 70-79, mortalité // Frattura del collo del femore, età 70-79, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	16	757	2.113606	
	1999	31	1069	2.899906	
	2000	22	982	2.240326	
	2001	20	1150	1.73913	
	2002	31	1103	2.810517	
	2003	28	1176	2.380952	
	2004	34	1168	2.910959	
	2005	27	1113	2.425876	
	2006	33	1057	3.122044	
	2007	29	1060	2.735849	
	2008	27	1053	2.564103	
	2009	24	1056	2.272727	
	2010	31	1320	2.348485	
	2011	20	1291	1.549187	
	2012	44	1289	3.413499	
	2013	22	1220	1.803279	

