
	I.3.6.M Schenkelhalsfraktur, Alter 85-89, Mortalität // Fractures du col du fémur, âge 85-89, mortalité // Frattura del collo del femore, età 85-89, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	36	683	5.270864	
	1999	54	900	6	
	2000	42	894	4.697987	
	2001	51	985	5.177665	
	2002	68	1043	6.519655	
	2003	67	992	6.754032	
	2004	56	997	5.616851	
	2005	51	898	5.679287	
	2006	61	1024	5.957031	
	2007	77	1082	7.116451	
	2008	66	1043	6.3279	
	2009	68	1151	5.907906	
	2010	75	1431	5.24109	
	2011	68	1422	4.781997	
	2012	79	1372	5.758017	
	2013	73	1357	5.379514	

