KT;Inst;Adr;Ort;Typ;RForm;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Kantonsspital Aarau AG;Tellstrasse 15;5000 Aarau;K112;R1;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;159012;26426;1405;17;5;1.150;1.134;0.65;11.46;17.04;92.94;574.68;1350.82;343.28;3208.25;2.17;5.11;1.3;12.14;0;0;373864723;38427832;178070865;591171786;509389867;35835673;8767870;-30823598;159012;26426;507;6;82.9;211143508;211143508;372087665;265237018;29742928;85602605;7978552;0;0;185707252;0;331249878;216480401;56.6;82930175;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kantonsspital Baden AG;Im Ergel;5404 Baden;K112;R1;A;NF, IPS;MSt, Arzt, BGs;4;MRI, CT, PET, CC, Lito;106526;18594;1542;8;6;0.928;0.922;0.61;4.47;20.76;95.52;278.23;734.76;194.12;1706.8;1.5;3.95;1.04;9.18;9695;0;184347426;15677737;88457963;298407910;284508743;22932042;4462063;23736533;106526;18594;356.2246575342;5.7;76.8;93247547;88259750;199956216;139246935;18481278;43304170;5778606;0;3465831;90529530;85315452;199251770;125571708;50.7;39294016;51.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Hirslanden Klinik Aarau;Schänisweg 1;5000 Aarau;K112;R1;A;IPS;MSt, Arzt, BGs;1;MRI, CT, LB, Lito;47599;9921;674;7;2;1.196;1.182;0.46;17.8;48.99;91.86;10.94;304.23;69.77;535.88;0.11;3.07;0.7;5.4;97652;18950;54866431;25470066;52896703;133234031;131602067;8572204;114081;7054321;47599;9921;143.1890410959;4.8;85.5;24950577;22775938;107415510;46008139;3768132;54510578;4555482;0;114081;20139203;18770953;135624147;52637728;51;57058755;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;K121;R1;A;NF;MSt, Arzt, BGs;3;MRI, CT;35356;7666;382;6;3;0.795;0.745;7.04;7.57;22.64;90.05;74.9;229.13;59.45;535.03;0.98;2.99;0.78;6.98;0;0;58322403;4251881;22452229;85026513;79896871;5712222;1122038;1704618;35356;7666;138.1671232877;4.6;66.6;21367309;18541480;61845049;39493289;2943949;16106681;995948;0;733303;16334162;14130601;65181642;37514810;51;18770549;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kreisspital für das Freiamt;Spitalstrasse 144;5630 Muri AG;K121;R2;A;NF;MSt, Arzt, BGs;1;MRI, CT;33713;7767;516;4;2;0.812;0.782;0.38;6.36;16.47;90.67;71.45;241.27;63.8;492.63;0.92;3.11;0.82;6.34;264;0;54072375;5474959;26530958;86309923;83098118;5208087;1583704;3581159;33713;7767;114;4.3;75.7;20935228;18437023;62232527;45971259;4240190;10113310;1114794;0;723052;20051968;15782381;64478186;43296898;51.4;12636109;61.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Spital Zofingen AG;Mühlethalstrasse 27;4800 Zofingen;K122;R1;A;NF, IPS;BGs;1;MRI, CT;25482;5240;0;4;0;0.892;0.836;0.44;12.04;14.08;90.32;51.69;181.56;93.69;473.49;0.99;3.46;1.79;9.04;;;44822122;2661309;21380789;68864220;63050027;4656887;494435;-662872;25482;5240;84;4.9;83.2;19786092;17152704;51021579;38626950;3533299;8850512;732082;0;0;15984723;13350769;47724019;34115275;51;9494323;61.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Leuggern;Kommendeweg;5316 Leuggern;K122;R1;A;NF;MSt, Arzt, BGs;1;;16232;3797;606;2;3;0.752;0.726;10.87;2.85;10.79;90.78;9.25;104.39;9.58;163.02;0.24;2.75;0.25;4.29;4999;2238;17915607;2295109;11819351;32030067;28796747;2382449;178578;337669;16232;3797;38.5917808219;4.3;96.6;3407581;0;22752339;17075878;1054047;3734228;211806;0;178578;3705646;0;26147499;19415419;50;4965547;63.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Menziken;Spitalstrasse 1;5737 Menziken;K122;R1;A;NF;MSt, Arzt, BGs;1;;15492;3443;177;3;2;0.760;0.729;0.29;6.8;12;90.28;25.42;91.57;28.63;225.14;0.74;2.66;0.83;6.54;4254;6651;20730967;1606813;10309743;32647523;28542940;2544316;162708;-369815;15492;3443;51;4.5;78.2;2015428;0;24897212;18414744;707532;4617754;146586;0;162708;7082355;0;24529976;17269099;50;3718669;81.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik Villa im Park AG;Bernstrasse 84;4852 Rothrist;K122;R1;A;;BGs;1;;8888;2674;624;2;2;0.681;0.659;0.04;52.53;14.1;90.73;0;48.43;6.9;82.41;0;1.81;0.26;3.08;5708;0;6826094;2198898;8207219;17354735;17316918;739582;0;701764;8888;2674;32;3.3;54.7;525765;525765;17500073;13067955;537680;1976910;81374;0;0;128209;0;17188709;12458195;51;1881212;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Psychiatrische Dienste Aargau AG;Zürcherstrasse 241;5210 Windisch;K211;R1;P;NF;MSt, Arzt, BGs;11;;116308;3431;0;0;0;;;0.44;4.15;5.66;99.7;101.43;319.4;158.86;846.74;2.96;9.31;4.63;24.68;;;89246701;11024162;27054777;128838758;116488445;6642461;7037800;3476796;;;;;;;;;;;;;;;;;;;;;;;116308;3431;322;33.9;100.2;34526350;34526350;86665943;68049228;9893181;5959861;796451;0;1709403;20554284;19681066;93834783;66974617;52;6612195;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
